0.00.003.988 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.004.179 I srv          init: The UI is disabled
0.00.004.203 I srv          init: Use --ui/--no-ui (or deprecated --webui/--no-webui) to enable/disable
0.00.005.731 I srv    load_model: loading model '/home/user/tools/models/qwen2.5-1.5b-instruct-q4_k_m.gguf'
0.00.649.713 W load: control-looking token: 128247 '</s>' was not control-type; this is probably a bug in the model. its type will be overridden
0.02.096.691 I srv    load_model: initializing, n_slots = 2, n_ctx_slot = 4096, kv_unified = 'false'
0.02.103.475 I srv  llama_server: model loaded
0.02.103.508 I srv  llama_server: listening on http://127.0.0.1:18082
0.11.635.726 I slot get_availabl: id  1 | task -1 | selected slot by LRU, t_last = -1
1.56.269.540 I slot print_timing: id  0 | task 488 | prompt eval time =    2358.99 ms /   253 tokens (    9.32 ms per token,   107.25 tokens per second)
1.56.269.589 I slot print_timing: id  0 | task 488 |        eval time =   11070.41 ms /   127 tokens (   87.17 ms per token,    11.47 tokens per second)
1.56.269.600 I slot print_timing: id  0 | task 488 |       total time =   13429.40 ms /   380 tokens
1.56.269.638 I slot print_timing: id  0 | task 488 |    graphs reused =        596
1.56.269.876 I slot      release: id  0 | task 488 | stop processing: n_tokens = 403, truncated = 0
2.30.388.993 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, sim_best = 0.115 (> 0.100 thold), f_keep = 0.060
2.30.397.655 I slot launch_slot_: id  0 | task 617 | processing task, is_child = 0
2.36.539.988 I slot print_timing: id  0 | task 617 | prompt eval time =    1717.98 ms /   184 tokens (    9.34 ms per token,   107.10 tokens per second)
2.36.539.995 I slot print_timing: id  0 | task 617 |        eval time =    4417.41 ms /    84 tokens (   52.59 ms per token,    19.02 tokens per second)
2.36.539.996 I slot print_timing: id  0 | task 617 |       total time =    6135.39 ms /   268 tokens
2.36.539.998 I slot print_timing: id  0 | task 617 |    graphs reused =        677
2.36.540.284 I slot      release: id  0 | task 617 | stop processing: n_tokens = 291, truncated = 0
2.59.773.433 I slot get_availabl: id  1 | task -1 | selected slot by LRU, t_last = 3665875255
2.59.773.631 I slot launch_slot_: id  1 | task 702 | processing task, is_child = 0
3.05.346.320 I slot print_timing: id  1 | task 702 | prompt eval time =    2853.00 ms /   290 tokens (    9.84 ms per token,   101.65 tokens per second)
3.05.346.329 I slot print_timing: id  1 | task 702 |        eval time =    2713.53 ms /    50 tokens (   54.27 ms per token,    18.43 tokens per second)
3.05.346.330 I slot print_timing: id  1 | task 702 |       total time =    5566.54 ms /   340 tokens
3.05.346.332 I slot print_timing: id  1 | task 702 |    graphs reused =        725
3.05.346.390 I slot      release: id  1 | task 702 | stop processing: n_tokens = 363, truncated = 0
3.16.645.476 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, sim_best = 0.111 (> 0.100 thold), f_keep = 0.082
3.16.645.710 I slot launch_slot_: id  0 | task 753 | processing task, is_child = 0
3.23.825.348 I slot print_timing: id  0 | task 753 | n_decoded =    100, tg =  18.70 t/s, tg_3s =  18.70 t/s
3.24.160.057 I slot get_availabl: id  1 | task -1 | selected slot by LCP similarity, sim_best = 0.116 (> 0.100 thold), f_keep = 0.072
3.24.160.261 I slot launch_slot_: id  1 | task 860 | processing task, is_child = 0
3.26.887.250 I slot print_timing: id  0 | task 753 | n_decoded =    117, tg =  13.91 t/s, tg_3s =   5.55 t/s
3.29.866.586 I slot print_timing: id  1 | task 860 | prompt eval time =    1929.72 ms /   198 tokens (    9.75 ms per token,   102.61 tokens per second)
3.29.866.592 I slot print_timing: id  1 | task 860 |        eval time =    3776.45 ms /    48 tokens (   78.68 ms per token,    12.71 tokens per second)
3.29.866.593 I slot print_timing: id  1 | task 860 |       total time =    5706.17 ms /   246 tokens
3.29.866.595 I slot print_timing: id  1 | task 860 |    graphs reused =        874
3.29.866.646 I slot      release: id  1 | task 860 | stop processing: n_tokens = 271, truncated = 0
3.29.866.663 I slot get_availabl: id  1 | task -1 | selected slot by LRU, t_last = 3762880730
3.29.872.404 I slot launch_slot_: id  1 | task 862 | processing task, is_child = 0
3.32.581.755 I slot print_timing: id  0 | task 753 | n_decoded =    155, tg =  10.99 t/s, tg_3s =   6.67 t/s
3.35.582.003 I slot print_timing: id  0 | task 753 | n_decoded =    192, tg =  11.22 t/s, tg_3s =  12.33 t/s
3.38.657.758 I slot print_timing: id  0 | task 753 | n_decoded =    229, tg =  11.35 t/s, tg_3s =  12.03 t/s
3.39.234.682 I slot print_timing: id  1 | task 862 | prompt eval time =    2709.95 ms /   269 tokens (   10.07 ms per token,    99.26 tokens per second)
3.39.234.763 I slot print_timing: id  1 | task 862 |        eval time =    6652.21 ms /    82 tokens (   81.12 ms per token,    12.33 tokens per second)
3.39.234.766 I slot print_timing: id  1 | task 862 |       total time =    9362.15 ms /   351 tokens
3.39.234.767 I slot print_timing: id  1 | task 862 |    graphs reused =        954
3.39.235.047 I slot      release: id  1 | task 862 | stop processing: n_tokens = 374, truncated = 0
3.39.235.092 I slot get_availabl: id  1 | task -1 | selected slot by LCP similarity, sim_best = 0.125 (> 0.100 thold), f_keep = 0.064
3.39.243.088 I slot launch_slot_: id  1 | task 960 | processing task, is_child = 0
3.41.362.195 I slot print_timing: id  0 | task 753 | prompt eval time =    1822.72 ms /   192 tokens (    9.49 ms per token,   105.34 tokens per second)
3.41.362.202 I slot print_timing: id  0 | task 753 |        eval time =   22885.46 ms /   242 tokens (   94.57 ms per token,    10.57 tokens per second)
3.41.362.203 I slot print_timing: id  0 | task 753 |       total time =   24708.18 ms /   434 tokens
3.41.362.204 I slot print_timing: id  0 | task 753 |    graphs reused =        958
3.41.362.412 I slot      release: id  0 | task 753 | stop processing: n_tokens = 457, truncated = 0
3.43.695.916 I slot print_timing: id  1 | task 960 | prompt eval time =    1716.72 ms /   168 tokens (   10.22 ms per token,    97.86 tokens per second)
3.43.695.945 I slot print_timing: id  1 | task 960 |        eval time =    2735.96 ms /    50 tokens (   54.72 ms per token,    18.28 tokens per second)
3.43.695.946 I slot print_timing: id  1 | task 960 |       total time =    4452.69 ms /   218 tokens
3.43.695.947 I slot print_timing: id  1 | task 960 |    graphs reused =       1001
3.43.696.181 I slot      release: id  1 | task 960 | stop processing: n_tokens = 241, truncated = 0
3.50.535.636 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, sim_best = 0.233 (> 0.100 thold), f_keep = 0.053
3.50.545.393 I slot launch_slot_: id  0 | task 1043 | processing task, is_child = 0
3.51.380.570 I slot get_availabl: id  1 | task -1 | selected slot by LCP similarity, sim_best = 0.122 (> 0.100 thold), f_keep = 0.100
3.51.380.766 I slot launch_slot_: id  1 | task 1045 | processing task, is_child = 0
4.00.175.286 I slot print_timing: id  1 | task 1045 | prompt eval time =    1735.40 ms /   173 tokens (   10.03 ms per token,    99.69 tokens per second)
4.00.175.292 I slot print_timing: id  1 | task 1045 |        eval time =    7059.03 ms /    94 tokens (   75.10 ms per token,    13.32 tokens per second)
4.00.175.293 I slot print_timing: id  1 | task 1045 |       total time =    8794.42 ms /   267 tokens
4.00.175.295 I slot print_timing: id  1 | task 1045 |    graphs reused =       1092
4.00.175.526 I slot      release: id  1 | task 1045 | stop processing: n_tokens = 290, truncated = 0
4.00.175.544 I slot get_availabl: id  1 | task -1 | selected slot by LRU, t_last = 3793189611
4.00.181.483 I slot launch_slot_: id  1 | task 1047 | processing task, is_child = 0
4.03.354.396 I slot print_timing: id  0 | task 1043 | n_decoded =    100, tg =   8.35 t/s, tg_3s =   8.35 t/s
4.06.420.393 I slot print_timing: id  0 | task 1043 | n_decoded =    140, tg =   9.31 t/s, tg_3s =  13.05 t/s
4.08.855.726 I slot print_timing: id  0 | task 1043 | prompt eval time =     830.27 ms /    79 tokens (   10.51 ms per token,    95.15 tokens per second)
4.08.855.743 I slot print_timing: id  0 | task 1043 |        eval time =   17474.99 ms /   172 tokens (  101.60 ms per token,     9.84 tokens per second)
4.08.855.744 I slot print_timing: id  0 | task 1043 |       total time =   18305.27 ms /   251 tokens
4.08.855.746 I slot print_timing: id  0 | task 1043 |    graphs reused =       1167
4.08.855.969 I slot      release: id  0 | task 1043 | stop processing: n_tokens = 274, truncated = 0
4.08.856.873 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, sim_best = 0.103 (> 0.100 thold), f_keep = 0.088
4.08.862.436 I slot launch_slot_: id  0 | task 1078 | processing task, is_child = 0
4.12.505.340 I slot print_timing: id  1 | task 1047 | n_decoded =    100, tg =  10.58 t/s, tg_3s =  10.58 t/s
4.15.512.844 I slot print_timing: id  1 | task 1047 | n_decoded =    139, tg =  11.16 t/s, tg_3s =  12.97 t/s
4.17.363.905 I slot print_timing: id  1 | task 1047 | prompt eval time =    2870.50 ms /   303 tokens (    9.47 ms per token,   105.56 tokens per second)
4.17.363.952 I slot print_timing: id  1 | task 1047 |        eval time =   14311.77 ms /   163 tokens (   87.80 ms per token,    11.39 tokens per second)
4.17.363.964 I slot print_timing: id  1 | task 1047 |       total time =   17182.27 ms /   466 tokens
4.17.363.976 I slot print_timing: id  1 | task 1047 |    graphs reused =       1251
4.17.364.174 I slot      release: id  1 | task 1047 | stop processing: n_tokens = 489, truncated = 0
4.17.584.963 I slot print_timing: id  0 | task 1078 | prompt eval time =    1933.33 ms /   209 tokens (    9.25 ms per token,   108.10 tokens per second)
4.17.585.197 I slot print_timing: id  0 | task 1078 |        eval time =    6789.10 ms /    90 tokens (   75.43 ms per token,    13.26 tokens per second)
4.17.585.209 I slot print_timing: id  0 | task 1078 |       total time =    8722.44 ms /   299 tokens
4.17.585.220 I slot print_timing: id  0 | task 1078 |    graphs reused =       1254
4.17.585.307 I slot      release: id  0 | task 1078 | stop processing: n_tokens = 322, truncated = 0
5.33.827.342 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, sim_best = 0.109 (> 0.100 thold), f_keep = 0.075
5.33.837.033 I slot launch_slot_: id  0 | task 1309 | processing task, is_child = 0
5.40.025.384 I slot print_timing: id  0 | task 1309 | prompt eval time =    1847.15 ms /   197 tokens (    9.38 ms per token,   106.65 tokens per second)
5.40.025.421 I slot print_timing: id  0 | task 1309 |        eval time =    4326.74 ms /    81 tokens (   53.42 ms per token,    18.72 tokens per second)
5.40.025.422 I slot print_timing: id  0 | task 1309 |       total time =    6173.90 ms /   278 tokens
5.40.025.425 I slot print_timing: id  0 | task 1309 |    graphs reused =       1332
5.40.026.013 I slot      release: id  0 | task 1309 | stop processing: n_tokens = 301, truncated = 0
5.41.253.772 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, sim_best = 0.133 (> 0.100 thold), f_keep = 0.080
5.41.261.913 I slot launch_slot_: id  0 | task 1391 | processing task, is_child = 0
5.47.298.698 I slot get_availabl: id  1 | task -1 | selected slot by LRU, t_last = 3810378270
5.47.298.949 I slot launch_slot_: id  1 | task 1481 | processing task, is_child = 0
5.51.359.415 I slot print_timing: id  0 | task 1391 | n_decoded =    100, tg =  11.53 t/s, tg_3s =  11.53 t/s
5.54.397.029 I slot print_timing: id  0 | task 1391 | n_decoded =    137, tg =  11.70 t/s, tg_3s =  12.18 t/s
5.57.455.741 I slot print_timing: id  0 | task 1391 | n_decoded =    174, tg =  11.78 t/s, tg_3s =  12.10 t/s
5.58.704.164 I slot print_timing: id  1 | task 1481 | n_decoded =    100, tg =  12.28 t/s, tg_3s =  12.28 t/s
5.59.616.141 I slot print_timing: id  0 | task 1391 | prompt eval time =    1426.40 ms /   156 tokens (    9.14 ms per token,   109.37 tokens per second)
5.59.616.163 I slot print_timing: id  0 | task 1391 |        eval time =   16927.33 ms /   200 tokens (   84.64 ms per token,    11.82 tokens per second)
5.59.616.165 I slot print_timing: id  0 | task 1391 |       total time =   18353.73 ms /   356 tokens
5.59.616.166 I slot print_timing: id  0 | task 1391 |    graphs reused =       1527
5.59.616.662 I slot      release: id  0 | task 1391 | stop processing: n_tokens = 379, truncated = 0
6.00.348.011 I slot print_timing: id  1 | task 1481 | prompt eval time =    3262.81 ms /   303 tokens (   10.77 ms per token,    92.86 tokens per second)
6.00.348.059 I slot print_timing: id  1 | task 1481 |        eval time =    9786.10 ms /   124 tokens (   78.92 ms per token,    12.67 tokens per second)
6.00.348.070 I slot print_timing: id  1 | task 1481 |       total time =   13048.92 ms /   427 tokens
6.00.348.079 I slot print_timing: id  1 | task 1481 |    graphs reused =       1539
6.00.348.755 I slot      release: id  1 | task 1481 | stop processing: n_tokens = 450, truncated = 0
6.09.045.583 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 3912630750
6.09.057.308 I slot launch_slot_: id  0 | task 1606 | processing task, is_child = 0
6.17.169.282 I slot print_timing: id  0 | task 1606 | n_decoded =    100, tg =  18.09 t/s, tg_3s =  18.09 t/s
6.20.173.509 I slot print_timing: id  0 | task 1606 | n_decoded =    153, tg =  17.93 t/s, tg_3s =  17.64 t/s
6.21.573.358 I slot print_timing: id  0 | task 1606 | prompt eval time =    2571.98 ms /   259 tokens (    9.93 ms per token,   100.70 tokens per second)
6.21.573.382 I slot print_timing: id  0 | task 1606 |        eval time =    9930.97 ms /   178 tokens (   55.79 ms per token,    17.92 tokens per second)
6.21.573.384 I slot print_timing: id  0 | task 1606 |       total time =   12502.95 ms /   437 tokens
6.21.573.385 I slot print_timing: id  0 | task 1606 |    graphs reused =       1715
6.21.574.014 I slot      release: id  0 | task 1606 | stop processing: n_tokens = 460, truncated = 0
6.29.057.177 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, sim_best = 0.126 (> 0.100 thold), f_keep = 0.052
6.29.071.820 I slot launch_slot_: id  0 | task 1785 | processing task, is_child = 0
6.36.463.726 I slot print_timing: id  0 | task 1785 | n_decoded =    100, tg =  17.78 t/s, tg_3s =  17.78 t/s
6.39.519.969 I slot print_timing: id  0 | task 1785 | n_decoded =    153, tg =  17.62 t/s, tg_3s =  17.34 t/s
6.39.806.576 I slot print_timing: id  0 | task 1785 | prompt eval time =    1766.27 ms /   167 tokens (   10.58 ms per token,    94.55 tokens per second)
6.39.806.581 I slot print_timing: id  0 | task 1785 |        eval time =    8968.27 ms /   158 tokens (   56.76 ms per token,    17.62 tokens per second)
6.39.806.583 I slot print_timing: id  0 | task 1785 |       total time =   10734.54 ms /   325 tokens
6.39.806.584 I slot print_timing: id  0 | task 1785 |    graphs reused =       1870
6.39.806.906 I slot      release: id  0 | task 1785 | stop processing: n_tokens = 348, truncated = 0
6.47.284.743 I slot get_availabl: id  1 | task -1 | selected slot by LRU, t_last = 3913362865
6.47.284.935 I slot launch_slot_: id  1 | task 1944 | processing task, is_child = 0
6.55.064.275 I slot print_timing: id  1 | task 1944 | prompt eval time =    2278.09 ms /   234 tokens (    9.74 ms per token,   102.72 tokens per second)
6.55.064.319 I slot print_timing: id  1 | task 1944 |        eval time =    5490.52 ms /    99 tokens (   55.46 ms per token,    18.03 tokens per second)
6.55.064.320 I slot print_timing: id  1 | task 1944 |       total time =    7768.61 ms /   333 tokens
6.55.064.322 I slot print_timing: id  1 | task 1944 |    graphs reused =       1967
6.55.064.952 I slot      release: id  1 | task 1944 | stop processing: n_tokens = 356, truncated = 0
7.06.734.496 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 3952820994
7.06.734.746 I slot launch_slot_: id  0 | task 2044 | processing task, is_child = 0
7.09.134.727 I slot get_availabl: id  1 | task -1 | selected slot by LCP similarity, sim_best = 0.124 (> 0.100 thold), f_keep = 0.067
7.09.134.958 I slot launch_slot_: id  1 | task 2046 | processing task, is_child = 0
7.16.682.703 I slot print_timing: id  0 | task 2044 | prompt eval time =    2391.86 ms /   243 tokens (    9.84 ms per token,   101.59 tokens per second)
7.16.682.759 I slot print_timing: id  0 | task 2044 |        eval time =    7548.12 ms /    70 tokens (  107.83 ms per token,     9.27 tokens per second)
7.16.682.773 I slot print_timing: id  0 | task 2044 |       total time =    9939.98 ms /   313 tokens
7.16.682.793 I slot print_timing: id  0 | task 2044 |    graphs reused =       2034
7.16.683.532 I slot      release: id  0 | task 2044 | stop processing: n_tokens = 336, truncated = 0
7.16.684.456 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 3989697634
7.16.692.079 I slot launch_slot_: id  0 | task 2048 | processing task, is_child = 0
7.21.924.539 I slot print_timing: id  1 | task 2046 | n_decoded =    100, tg =   9.08 t/s, tg_3s =   9.08 t/s
7.24.941.705 I slot print_timing: id  1 | task 2046 | n_decoded =    136, tg =   9.70 t/s, tg_3s =  11.93 t/s
7.27.163.652 I slot print_timing: id  0 | task 2048 | prompt eval time =    2727.80 ms /   263 tokens (   10.37 ms per token,    96.41 tokens per second)
7.27.163.695 I slot print_timing: id  0 | task 2048 |        eval time =    7743.55 ms /    93 tokens (   83.26 ms per token,    12.01 tokens per second)
7.27.163.708 I slot print_timing: id  0 | task 2048 |       total time =   10471.35 ms /   356 tokens
7.27.163.720 I slot print_timing: id  0 | task 2048 |    graphs reused =       2125
7.27.164.338 I slot      release: id  0 | task 2048 | stop processing: n_tokens = 379, truncated = 0
7.27.165.133 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 4000178443
7.27.173.984 I slot launch_slot_: id  0 | task 2144 | processing task, is_child = 0
7.30.290.022 I slot print_timing: id  1 | task 2046 | n_decoded =    163, tg =   8.41 t/s, tg_3s =   5.05 t/s
7.33.329.279 I slot print_timing: id  1 | task 2046 | n_decoded =    199, tg =   8.88 t/s, tg_3s =  11.85 t/s
7.36.382.061 I slot print_timing: id  1 | task 2046 | n_decoded =    235, tg =   9.23 t/s, tg_3s =  11.79 t/s
7.36.464.489 I slot print_timing: id  0 | task 2144 | prompt eval time =    3114.98 ms /   307 tokens (   10.15 ms per token,    98.56 tokens per second)
7.36.464.524 I slot print_timing: id  0 | task 2144 |        eval time =    6175.15 ms /    74 tokens (   83.45 ms per token,    11.98 tokens per second)
7.36.464.582 I slot print_timing: id  0 | task 2144 |       total time =    9290.13 ms /   381 tokens
7.36.464.593 I slot print_timing: id  0 | task 2144 |    graphs reused =       2197
7.36.465.116 I slot      release: id  0 | task 2144 | stop processing: n_tokens = 404, truncated = 0
7.36.465.853 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 4009479252
7.36.477.575 I slot launch_slot_: id  0 | task 2213 | processing task, is_child = 0
7.39.442.075 I slot print_timing: id  1 | task 2046 | n_decoded =    237, tg =   8.31 t/s, tg_3s =   0.65 t/s
7.40.024.266 I slot print_timing: id  1 | task 2046 | prompt eval time =    1781.14 ms /   169 tokens (   10.54 ms per token,    94.88 tokens per second)
7.40.024.301 I slot print_timing: id  1 | task 2046 |        eval time =   29107.94 ms /   244 tokens (  119.29 ms per token,     8.38 tokens per second)
7.40.024.304 I slot print_timing: id  1 | task 2046 |       total time =   30889.09 ms /   413 tokens
7.40.024.305 I slot print_timing: id  1 | task 2046 |    graphs reused =       2203
7.40.024.865 I slot      release: id  1 | task 2046 | stop processing: n_tokens = 436, truncated = 0
7.45.232.408 I slot print_timing: id  0 | task 2213 | n_decoded =    100, tg =  17.27 t/s, tg_3s =  17.27 t/s
7.47.330.755 I slot print_timing: id  0 | task 2213 | prompt eval time =    2963.26 ms /   294 tokens (   10.08 ms per token,    99.22 tokens per second)
7.47.330.829 I slot print_timing: id  0 | task 2213 |        eval time =    7889.54 ms /   137 tokens (   57.59 ms per token,    17.36 tokens per second)
7.47.330.830 I slot print_timing: id  0 | task 2213 |       total time =   10852.79 ms /   431 tokens
7.47.330.831 I slot print_timing: id  0 | task 2213 |    graphs reused =       2331
7.47.331.303 I slot      release: id  0 | task 2213 | stop processing: n_tokens = 454, truncated = 0
8.16.658.472 I slot get_availabl: id  1 | task -1 | selected slot by LRU, t_last = 4013038953
8.16.668.990 I slot launch_slot_: id  1 | task 2423 | processing task, is_child = 0
8.24.364.712 I slot print_timing: id  1 | task 2423 | n_decoded =    100, tg =  18.13 t/s, tg_3s =  18.13 t/s
8.24.864.473 I slot print_timing: id  1 | task 2423 | prompt eval time =    2167.14 ms /   230 tokens (    9.42 ms per token,   106.13 tokens per second)
8.24.864.547 I slot print_timing: id  1 | task 2423 |        eval time =    6015.99 ms /   109 tokens (   55.19 ms per token,    18.12 tokens per second)
8.24.864.548 I slot print_timing: id  1 | task 2423 |       total time =    8183.13 ms /   339 tokens
8.24.864.549 I slot print_timing: id  1 | task 2423 |    graphs reused =       2437
8.24.864.994 I slot      release: id  1 | task 2423 | stop processing: n_tokens = 362, truncated = 0
8.26.322.013 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, sim_best = 0.115 (> 0.100 thold), f_keep = 0.053
8.26.322.347 I slot launch_slot_: id  0 | task 2533 | processing task, is_child = 0
8.28.153.895 I slot get_availabl: id  1 | task -1 | selected slot by LRU, t_last = 4057879105
8.28.154.114 I slot launch_slot_: id  1 | task 2535 | processing task, is_child = 0
8.35.617.845 I slot print_timing: id  0 | task 2533 | prompt eval time =    1823.24 ms /   185 tokens (    9.86 ms per token,   101.47 tokens per second)
8.35.617.890 I slot print_timing: id  0 | task 2533 |        eval time =    7464.01 ms /    60 tokens (  124.40 ms per token,     8.04 tokens per second)
8.35.617.901 I slot print_timing: id  0 | task 2533 |       total time =    9287.25 ms /   245 tokens
8.35.617.912 I slot print_timing: id  0 | task 2533 |    graphs reused =       2494
8.35.618.216 I slot      release: id  0 | task 2533 | stop processing: n_tokens = 268, truncated = 0
8.35.618.770 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, sim_best = 0.129 (> 0.100 thold), f_keep = 0.090
8.35.624.525 I slot launch_slot_: id  0 | task 2589 | processing task, is_child = 0
8.39.289.287 I slot print_timing: id  1 | task 2535 | prompt eval time =    2796.52 ms /   276 tokens (   10.13 ms per token,    98.69 tokens per second)
8.39.289.341 I slot print_timing: id  1 | task 2535 |        eval time =    8338.58 ms /    85 tokens (   98.10 ms per token,    10.19 tokens per second)
8.39.289.352 I slot print_timing: id  1 | task 2535 |       total time =   11135.11 ms /   361 tokens
8.39.289.363 I slot print_timing: id  1 | task 2535 |    graphs reused =       2518
8.39.289.506 I slot      release: id  1 | task 2535 | stop processing: n_tokens = 384, truncated = 0
8.39.289.538 I slot get_availabl: id  1 | task -1 | selected slot by LRU, t_last = 4072303603
8.39.298.685 I slot launch_slot_: id  1 | task 2618 | processing task, is_child = 0
8.46.395.239 I slot print_timing: id  0 | task 2589 | prompt eval time =    1619.95 ms /   162 tokens (   10.00 ms per token,   100.00 tokens per second)
8.46.395.285 I slot print_timing: id  0 | task 2589 |        eval time =    9150.33 ms /    80 tokens (  114.38 ms per token,     8.74 tokens per second)
8.46.395.296 I slot print_timing: id  0 | task 2589 |       total time =   10770.28 ms /   242 tokens
8.46.395.314 I slot print_timing: id  0 | task 2589 |    graphs reused =       2570
